127.0.0.1 - - [15/Jan/2019:03:16:38 +0000] "GET /favicon.ico HTTP/1.0" 302 0 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:16:40 +0000] "GET /wp-admin/setup-config.php HTTP/1.0" 200 11259 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:17:32 +0000] "POST /wp-admin/setup-config.php?step=2 HTTP/1.0" 500 3716 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:17:32 +0000] "GET /favicon.ico HTTP/1.0" 302 0 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:17:33 +0000] "GET /wp-admin/setup-config.php HTTP/1.0" 200 11259 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:17:39 +0000] "GET /favicon.ico HTTP/1.0" 302 0 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:17:41 +0000] "GET /wp-admin/setup-config.php HTTP/1.0" 200 11259 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:18:11 +0000] "GET /wp-admin HTTP/1.0" 301 178 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:18:11 +0000] "GET /wp-admin/ HTTP/1.0" 302 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:18:13 +0000] "GET /wp-admin/setup-config.php HTTP/1.0" 200 11259 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:18:13 +0000] "GET /favicon.ico HTTP/1.0" 302 0 "http://reconproject1.mml.local/wp-admin/setup-config.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:18:14 +0000] "GET /wp-admin/setup-config.php HTTP/1.0" 200 11259 "http://reconproject1.mml.local/wp-admin/setup-config.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:18:40 +0000] "POST /wp-admin/setup-config.php?step=2 HTTP/1.0" 500 3716 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:18:40 +0000] "GET /favicon.ico HTTP/1.0" 302 0 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:18:41 +0000] "GET /wp-admin/setup-config.php HTTP/1.0" 200 11259 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:18:42 +0000] "GET /favicon.ico HTTP/1.0" 302 0 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:18:43 +0000] "GET /wp-admin/setup-config.php HTTP/1.0" 200 11259 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:18:54 +0000] "POST /wp-admin/setup-config.php?step=2 HTTP/1.0" 500 3716 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:18:54 +0000] "GET /favicon.ico HTTP/1.0" 302 0 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:18:55 +0000] "GET /wp-admin/setup-config.php HTTP/1.0" 200 11259 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:19:07 +0000] "GET /favicon.ico HTTP/1.0" 302 0 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:19:08 +0000] "GET /wp-admin/setup-config.php HTTP/1.0" 200 11259 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:21:28 +0000] "GET /wp-admin/setup-config.php?step=1 HTTP/1.0" 200 2786 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=0" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:21:28 +0000] "GET /favicon.ico HTTP/1.0" 302 0 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:21:29 +0000] "GET /wp-admin/setup-config.php HTTP/1.0" 200 11259 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:23:27 +0000] "POST /wp-admin/setup-config.php?step=2 HTTP/1.0" 200 1479 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:23:27 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:29:46 +0000] "GET /wp-admin/install.php?language=en_US HTTP/1.0" 200 6170 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:29:46 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://reconproject1.mml.local/wp-admin/install.php?language=en_US" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:29:53 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:29:54 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:30:05 +0000] "POST /wp-admin/setup-config.php?step=2 HTTP/1.0" 500 3057 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:30:05 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:30:09 +0000] "GET /wp-admin/install.php HTTP/1.0" 200 11617 "http://reconproject1.mml.local/wp-admin/setup-config.php?step=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:30:09 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://reconproject1.mml.local/wp-admin/install.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:30:13 +0000] "POST /wp-admin/install.php?step=1 HTTP/1.0" 200 6153 "http://reconproject1.mml.local/wp-admin/install.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:30:13 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://reconproject1.mml.local/wp-admin/install.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:31:07 +0000] "POST /wp-admin/install.php?step=1 HTTP/1.0" 200 6153 "http://reconproject1.mml.local/wp-admin/install.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:31:08 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://reconproject1.mml.local/wp-admin/install.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:32:19 +0000] "GET /2019/01/15/hello-world/ HTTP/1.0" 200 58123 "http://reconproject1.mml.local/2019/01/15/hello-world/" "WordPress/4.9.9; http://reconproject1.mml.local"
127.0.0.1 - - [15/Jan/2019:03:32:19 +0000] "POST /wp-admin/install.php?step=2 HTTP/1.0" 200 3229 "http://reconproject1.mml.local/wp-admin/install.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:32:20 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://reconproject1.mml.local/wp-admin/install.php?step=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
127.0.0.1 - - [15/Jan/2019:03:32:26 +0000] "POST /wp-cron.php?doing_wp_cron=1547523145.4619510173797607421875 HTTP/1.0" 499 0 "http://reconproject1.mml.local/wp-cron.php?doing_wp_cron=1547523145.4619510173797607421875" "WordPress/4.9.9; http://reconproject1.mml.local"
